Member_ID,Name,Postcode,Fine
63784,Juan Chase,AXR2Z9,0.0
57331,Sierra Delacruz,AXP0EP,0.0
23456,Nicholas Harmon,AXZTEE,0.0
67752,Mary Torres,AX8YAE,0.0
83397,Rachel Guerra,AXPKNN,0.0
66713,Jason Howard,AXEPFS,0.0
14583,Kyle Wilkins,AXBFKS,0.0
01011,Julie Smith,AX7MF0,
66785,Sherri Young,AXAPMG,0.0
08970,Susan Thompson,AXFEMV,0.0
73342,Charles Orr,AXRSV2,0.0
99463,Karen Walsh,AXMLCT,0.0
32440,Kelly Bradshaw,AX0HQV,0.0
57918,Tamara Boyd,AX9BWN,10.0
92421,Michael Proctor,AXURJ3,0.0
10600,Samantha Stephens,AX3B4Q,0.0
98711,Sarah Lewis,AXNNWB,0.0
27344,Michelle Gomez,AXIEEG,
30629,Kimberly Miller,AXR7IE,0.0
13687,Michelle Lopez,AXMO5S,0.0
58502,Kelly Roman,AXGKV2,0.0
55015,Marcus Pratt,AXRODM,5.0
96175,James Pierce,AXNJGU,
20533,Sara Hawkins,AXZMLF,0.0
28118,Kimberly Coleman,AX2FYH,
90996,Spencer Morgan,AX22GJ,0.0
96347,Jimmy Owens,AXMQDT,
26249,Erica Stout,AXTXX6,0.0
78198,Mrs. Cindy Chang,AXU5O7,0.0
12922,Stephen Porter,AXCSW6,
99840,Taylor May,AX1J2F,10.0
72108,Nicholas Fields,AXMNDF,
09374,Jordan Rodriguez MD,AXG0HG,
33264,Paul Howard,AX2KQ8,0.0
77745,Troy Perez,AXDU56,10.0
59770,Amy Potter,AXSNSK,5.0
76534,Christopher Schmitt,AXRHF2,10.0
42272,Sarah Moore,AXM665,10.0
37289,Matthew Delgado,AXXHFU,0.0
43608,Helen Parker,AX3Z75,0.0
79229,Mary Mitchell,AXDA9T,0.0
73266,David Taylor,AXZA5T,0.0
73154,Joshua Thomas,AXBNVY,10.0
74960,Gabriel Warner,AXP1MT,0.0
56631,Daniel Mccoy,AXYJTN,
04534,Kim Smith,AX4U0S,0.0
27434,Joshua Miller,AXXV0U,
10697,Shelley Hamilton,AX36VY,10.0
22026,Seth Romero,AXR0TE,5.0
74470,Adam Sullivan,AXCBF1,5.0
64305,Joseph Hernandez,AXRJFG,0.0
49397,Ian Logan,AXJYV3,0.0
25469,Rita Elliott,AX4EK9,0.0
69891,Stephanie Mitchell,AX2JOW,0.0
55654,James Williamson,AX67WP,
04622,Jill Short,AXO3OC,0.0
84380,Dawn Hill,AXDU0R,5.0
28193,Stacey Owens,AX8F7X,0.0
70079,Ricky Lynch,AX71MH,0.0
99012,Lance Hurst,AX135U,
55469,Steven Pittman,AXTSIG,0.0
90357,Nicole Rocha,AXW1ZQ,0.0
57056,Henry Gibbs,AXA2ZC,0.0
