Member_ID,Name,Postcode,Fine
351830,Desiree Tucker,AXP2I6M,0.0
486797,John Cooper,AXPE659,
972503,George Mcgee,AXPKKG2,
923489,Emily Lawrence,AXPGZB3,10.0
709826,Benjamin Chang,AXPJ5ET,5.0
896596,Scott Spears,AXP6QU9,0.0
601016,Dylan Jackson,AXPRXZK,
477191,Jonathan Golden,AXPHN5V,0.0
913603,Albert Durham,AXPUTKD,0.0
759502,Jessica Ashley,AXPO0QW,10.0
664178,Joanna Fox,AXPJTFT,5.0
770927,Michael Jones,AXP2UP3,5.0
581300,Steven Zuniga,AXPMNOW,
467190,Michelle Sullivan,AXP081X,0.0
957159,Mr. Ronald Chan,AXPBDVG,0.0
907576,Jesse Wheeler,AXPCFDA,0.0
581280,Cody Singh,AXPW90X,0.0
761595,Diane Martinez,AXPVO8Z,10.0
541893,Catherine Delacruz,AXPROWH,0.0
802636,Antonio Campbell DDS,AXPN2KH,10.0
472683,Sharon Jones,AXPQLYI,0.0
894209,Keith Robinson,AXPEJYJ,0.0
538295,Veronica English,AXPJEQ8,0.0
682288,Christopher Riley,AXPFA15,
587399,Jamie Robinson,AXPLF97,0.0
114614,John Haas,AXPJO4M,0.0
664226,April Castillo,AXP1D3Z,0.0
623608,Nathaniel Sanchez,AXPJEQ8,0.0
364368,Jeremy Allen,AXPGI79,0.0
299339,Jeffrey Brooks,AXP5Z8Z,
112533,Susan Patel,AXPQAPH,
600195,Michael Woodard,AXPMXBA,0.0
470799,Stephen Perkins,AXP741X,10.0
332114,Nathaniel Meyer,AXPJGYP,5.0
808327,Philip Collier,AXPAL9U,0.0
405933,Erin Deleon,AXPMVPZ,
414829,Marie Hicks,AXP2HXF,0.0
85125,Joseph Brown,AXPOYGH,5.0
877981,Donald Russell,AXPOSNK,5.0
837505,Steven Walker,AXP49FC,0.0
167279,Bianca King,AXP93Y6,10.0
729285,Joshua Owens,AXPDT5F,0.0
448765,Todd Nolan,AXPS99P,0.0
989150,Elaine Williams MD,AXPQ05S,10.0
183839,Daryl Gardner,AXPA15C,0.0
981340,Robin Mora DDS,AXPJJK0,0.0
453721,Jose Murray,AXPETBN,5.0
570848,Jackie Reed,AXPA0TQ,5.0
677471,Amy Taylor,AXP8S0Z,
849915,John Hernandez,AXPELZM,0.0
248357,Heather Parker,AXPRTOJ,0.0
549791,Jodi Banks,AXPRN9N,0.0
401273,Mary Miller,AXP0IAG,0.0
640206,George Baker,AXPNTAA,
438934,James Small,AXP18YJ,0.0
353636,Shawn Carey,AXP43P9,0.0
660577,Andrew Carter,AXPW32S,0.0
972513,Cody Tucker,AXPJ2LJ,0.0
943302,Tyler Marsh DVM,AXPGI7N,
36616,Margaret Taylor,AXPXQPK,10.0
363173,Jennifer Williams MD,AXP8BYP,0.0
637530,Anna Mcfarland,AXPH05G,
137329,Keith Harris,AXPQTXE,10.0
975165,Lindsay Zimmerman,AXP71C8,0.0
31408,Charles Spencer,AXP8GQG,10.0
137722,Bernard Beard,AXP87N4,0.0
129645,Anthony Kim,AXPAOHH,5.0
548760,Amanda Mccoy,AXP2X3O,5.0
439080,Brian Garrison,AXP9CTI,0.0
316627,Alyssa Fischer,AXPWG1D,0.0
350625,Sherri Baker,AXPDXJE,0.0
202017,Leslie Henry,AXPFA7I,0.0
609749,Cathy Cooper,AXPQOKN,
784233,Ronnie Morse,AXPKJA1,
733982,Stephen Alexander,AXP77M8,0.0
31007,Jennifer Taylor,AXPE3FA,0.0
897098,Eddie Sanchez,AXPYYXD,0.0
88364,Stacey Dillon,AXP8LQ7,0.0
244040,Elizabeth Douglas,AXPOMR2,
995057,Ashley Rodriguez,AXPG2MN,0.0
878084,John Cannon,AXPCJ30,5.0
83257,Tammy Horton,AXPC9BE,0.0
262070,Denise Duke,AXPN4F6,0.0
894954,Cody Harrison,AXPB5RC,0.0
962085,Sydney Turner,AXPN6D5,0.0
848346,John Chavez Jr.,AXP88WW,0.0
914151,Heather Meyer,AXPU6OQ,0.0
771089,Jennifer Taylor,AXPKTIJ,
745295,Melissa Coleman,AXPLF97,
971104,Brian Foster,AXP2C3Z,0.0
242217,Nicole Barrett,AXP0HDE,0.0
790709,Shannon Houston,AXPBLD6,0.0
94009,Christian Hutchinson,AXPDTPK,0.0
910201,Heather Lee,AXPYL4S,5.0
789708,Veronica Jackson,AXPUYC8,0.0
796766,Dr. Joseph Butler,AXP4F8Q,10.0
271400,Kathy Ward,AXPKU1V,
436964,Charles Peterson,AXPES7Z,0.0
939371,Katherine Cook,AXPNN1K,0.0
199886,Isaiah Jordan,AXP4QUF,0.0
926539,Kari Kennedy,AXPC98R,10.0
608919,Brian Holmes,AXPTD3D,0.0
652948,Elizabeth Duncan,AXPIC1J,
171122,Angela Robinson,AXP4G3B,10.0
762604,Dominique Adams,AXP0PYJ,0.0
995739,Thomas Hanson,AXPBZUH,0.0
908723,Patrick Zimmerman,AXP6XN9,5.0
554254,Jonathan Wood,AXPQURZ,0.0
344953,Travis Lawrence,AXPHF7Q,
606815,Mrs. Valerie Hall DDS,AXPDRV1,0.0
343486,Erika Gomez,AXPD1R9,0.0
805365,Taylor Moran,AXP9CTI,5.0
267080,Eric Williams,AXP4SF6,
524684,Kara Bullock,AXPU8T0,
928714,Kelli Miller,AXPYOJP,0.0
480338,Alexandra Yates,AXPFE4S,0.0
381826,Jaime Morales,AXPNHY9,10.0
544189,Christopher Moore,AXPEYHU,0.0
72378,William Weaver,AXPB2X6,0.0
662013,Johnny Perry,AXPZRZH,0.0
600757,Jamie West,AXPUAWC,0.0
147545,Maria Riggs,AXPUW2Q,10.0
553333,Gina Cruz,AXPQPPK,0.0
271948,Kayla Hoffman,AXPP51V,5.0
334078,Janet Johnson,AXP57D1,10.0
926688,Adam Jackson,AXPW1Z3,0.0
538888,Kenneth Dominguez,AXPJ2LJ,0.0
213203,Chad Gibson,AXP9LT7,10.0
367011,Amanda Wells,AXPUYC8,5.0
691122,Katie Mcdowell,AXPCE6R,0.0
493360,Rebecca Hall,AXPLD8U,5.0
267520,Andrew Evans,AXPS5RW,0.0
474831,Erin Roberts,AXP8AA9,0.0
570281,Emily Hughes,AXPYF35,0.0
522005,Stacy Nelson,AXP91EL,
55369,Samantha French,AXPI4K3,5.0
291760,Connie Bauer,AXPS7SO,0.0
207892,Abigail Mcguire,AXPRJPE,0.0
212711,Wendy Williams,AXPM5CB,
384644,James Patton,AXP28MG,
172356,Debbie Evans,AXP8LQ7,
48009,Kelly Meyers,AXPUMBL,
999324,Joshua Johnson,AXPXQPK,0.0
70646,Stephanie Wong,AXPHOY3,0.0
224040,Haley Gray,AXP4QUF,
585030,Joshua Lawrence,AXPSJHX,0.0
733479,Meghan Valentine,AXPMNBH,0.0
512726,Jamie Morton,AXPUGCU,0.0
42295,Wanda Torres,AXPDW97,
527456,Donald White,AXP9M57,0.0
536259,Taylor Farrell,AXPW9BY,0.0
117921,Todd Steele,AXPQURZ,0.0
517281,Mariah Johnson,AXPEB5G,0.0
748428,Lynn Galloway,AXP660C,0.0
624732,Angela Spencer,AXPQSRI,0.0
545090,John Mcbride,AXPQF14,0.0
307688,Edward Lucas,AXP9E6J,0.0
518912,Randy Smith,AXPBNEM,10.0
986806,Brandon Schmidt,AXP6727,0.0
505764,Alexandra Gaines,AXPFNMQ,0.0
726007,Jacob Flores,AXP1JCX,0.0
252689,Mr. Joel Morris,AXPITWN,0.0
236302,Kevin Montoya,AXPAW69,0.0
373059,Nichole Johnson,AXP8UJV,0.0
684766,Amanda Sanchez,AXP39S4,
718541,Donna Long,AXPDEA1,0.0
459238,Thomas Mclaughlin,AXPXGDT,10.0
32644,Jill Torres,AXP7YRJ,0.0
918270,Jonathan Hinton,AXPHT2M,0.0
583158,Robin Rice,AXP40UY,0.0
974667,Oscar Chapman,AXPEDMZ,10.0
799582,Casey Dudley,AXPAOHD,10.0
909543,Debra Patterson,AXPUAWC,10.0
642888,Amy Potts,AXPRPWM,
142515,Kristen Brown,AXPB4BZ,
308000,David Frazier,AXP0PYJ,5.0
250322,Robert Gonzalez,AXPZY73,
756670,Kevin Williams,AXPX5XC,10.0
479612,Denise Mcclain,AXPDJRE,
752190,Barbara Butler,AXPX9PR,0.0
165334,Kyle Hopkins,AXP583J,0.0
520657,Theresa Jones,AXP4W26,0.0
67487,Wesley Moore,AXPPRYI,0.0
227304,Donna Rodriguez,AXPZYZO,
744622,Kelly Powers,AXP0YEQ,
333688,Robin Aguirre,AXP0HDE,0.0
911735,Russell Miller,AXPNZNQ,0.0
513641,Melissa Bentley,AXPIGNY,
154725,Barry Shaffer DDS,AXP6Z6Z,0.0
122420,Evan Wilson,AXPYR20,0.0
569627,Kyle Alexander,AXP1IGE,0.0
138275,Terri Johnson,AXPTQA1,
943001,Shelia Davis,AXPNNTF,0.0
996700,David Jones,AXPAUEK,0.0
263954,Anne Shannon,AXPGI7N,5.0
527206,Ann Thompson,AXPUQZI,0.0
629207,Kelly Dominguez,AXPN0Y2,0.0
960963,Kelsey Alvarado,AXPVV0T,0.0
309600,Nancy Wheeler,AXP0MNL,5.0
992156,Michelle Bradley,AXPI1C2,0.0
671120,Julian Palmer,AXP7YRJ,0.0
690385,William Taylor,AXP6POG,0.0
639291,James Vincent,AXPK77X,0.0
529653,Carl Little,AXPYKTV,0.0
70736,Sandra Martin,AXPDKEO,0.0
99308,Tristan Kirk,AXPB8IM,0.0
